WID,Condition,Trial,TrialBase,Class,ContainmentType,ContainmentLevel,TrialNum,MotionDirection,Response,RT,Goal,Switched,RawResponse,WasBad
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,stopper_5_c,stopper_5,contained,stopper,c,5,Fwd,G,0.806,G,True,R,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_2,regular_2,regular,NA,NA,2,None,NA,-1,G,True,NA,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,complex_3_a,complex_3,contained,complex,a,3,Fwd,R,0.26,G,False,R,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_14,regular_14,regular,NA,NA,14,None,G,0.447,G,False,G,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,size_5_c,size_5,contained,size,c,5,Rev,G,0.439,G,True,R,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,stopper_3_a,stopper_3,contained,stopper,a,3,Rev,G,1.933,G,False,G,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_62,regular_62,regular,NA,NA,62,None,G,1.273,G,False,G,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_47,regular_47,regular,NA,NA,47,None,G,0.278,R,True,R,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_28,regular_28,regular,NA,NA,28,Fwd,R,0.193,R,False,R,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,complex_2_c,complex_2,contained,complex,c,2,Rev,G,0.351,G,False,G,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,complex_5_c,complex_5,contained,complex,c,5,None,G,0.451,G,False,G,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,porous_1_b,porous_1,contained,porous,b,1,Fwd,G,1.994,G,True,R,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_66,regular_66,regular,NA,NA,66,Fwd,G,0.487,R,True,R,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_52,regular_52,regular,NA,NA,52,Fwd,G,0.238,R,False,G,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_35,regular_35,regular,NA,NA,35,None,G,0.708,G,True,R,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,stopper_2_c,stopper_2,contained,stopper,c,2,None,G,0.583,G,False,G,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_61,regular_61,regular,NA,NA,61,Fwd,R,0.137,R,False,R,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_45,regular_45,regular,NA,NA,45,Fwd,R,0.385,G,True,G,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_71,regular_71,regular,NA,NA,71,None,R,0.828,R,True,G,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_21,regular_21,regular,NA,NA,21,Fwd,G,0.188,R,False,G,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_9,regular_9,regular,NA,NA,9,Fwd,R,0.332,R,True,G,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_6,regular_6,regular,NA,NA,6,Fwd,G,0.018,G,False,G,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_54,regular_54,regular,NA,NA,54,Fwd,R,0.001,R,False,R,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_41,regular_41,regular,NA,NA,41,None,R,1.843,R,True,G,False
A10249252O9I20MRSOBVF:36WLNQG780UU5OM2GMNN26HDE77EBG,7,regular_20,regular_20,regular,NA,NA,20,None,G,0.804,G,True,R,False
