WID,Condition,Trial,TrialBase,Class,ContainmentType,ContainmentLevel,TrialNum,MotionDirection,Response,RT,Goal,Switched,RawResponse,WasBad
A13JDX06ZXN4KJ:3UNH76FOCTPOUK7Q7CPQNPKNG1KMY6,2,regular_8,regular_8,regular,NA,NA,8,Fwd,R,0.572,R,True,G,False
A13JDX06ZXN4KJ:3UNH76FOCTPOUK7Q7CPQNPKNG1KMY6,2,complex_1_b,complex_1,contained,complex,b,1,Rev,G,0.333,G,False,G,False
A13JDX06ZXN4KJ:3UNH76FOCTPOUK7Q7CPQNPKNG1KMY6,2,porous_1_a,porous_1,contained,porous,a,1,Rev,R,0.021,G,True,G,False
A13JDX06ZXN4KJ:3UNH76FOCTPOUK7Q7CPQNPKNG1KMY6,2,regular_2,regular_2,regular,NA,NA,2,Fwd,R,0.662,G,True,G,False
A13JDX06ZXN4KJ:3UNH76FOCTPOUK7Q7CPQNPKNG1KMY6,2,regular_9,regular_9,regular,NA,NA,9,Fwd,G,0.132,R,True,R,False
A13JDX06ZXN4KJ:3UNH76FOCTPOUK7Q7CPQNPKNG1KMY6,2,size_2_c,size_2,contained,size,c,2,Fwd,G,0.792,G,False,G,False
A13JDX06ZXN4KJ:3UNH76FOCTPOUK7Q7CPQNPKNG1KMY6,2,porous_5_a,porous_5,contained,porous,a,5,Fwd,G,0.533,G,True,R,False
A13JDX06ZXN4KJ:3UNH76FOCTPOUK7Q7CPQNPKNG1KMY6,2,regular_0,regular_0,regular,NA,NA,0,Fwd,R,0.951,R,True,G,False
A13JDX06ZXN4KJ:3UNH76FOCTPOUK7Q7CPQNPKNG1KMY6,2,regular_12,regular_12,regular,NA,NA,12,Fwd,R,0.451,G,True,G,False
A13JDX06ZXN4KJ:3UNH76FOCTPOUK7Q7CPQNPKNG1KMY6,2,regular_10,regular_10,regular,NA,NA,10,None,R,0.732,R,True,G,False
A13JDX06ZXN4KJ:3UNH76FOCTPOUK7Q7CPQNPKNG1KMY6,2,stopper_2_a,stopper_2,contained,stopper,a,2,Fwd,G,0.36,G,False,G,False
A13JDX06ZXN4KJ:3UNH76FOCTPOUK7Q7CPQNPKNG1KMY6,2,porous_4_a,porous_4,contained,porous,a,4,Rev,G,0.227,G,True,R,False
