WID,Trial,TrialBase,ContainmentType,ContainmentLevel,TrialNum,GoalReachable,MotionDirection,Response,RT,TrialOrder,WasBad
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,size_6_c,size_6,size,c,6,True,None,True,2.118,0,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,stopper_6_a,stopper_6,stopper,a,6,True,Rev,False,1.272,1,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,size_5_c,size_5,size,c,5,False,Rev,False,0.797,2,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,complex_3_b,complex_3,complex,b,3,False,Fwd,False,0.367,3,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,complex_4_b,complex_4,complex,b,4,False,Rev,False,0.184,4,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,stopper_4_a,stopper_4,stopper,a,4,False,None,False,0.195,5,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,size_1_c,size_1,size,c,1,False,Fwd,False,0.366,6,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,stopper_2_a,stopper_2,stopper,a,2,True,Rev,True,0.432,7,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,porous_4_a,porous_4,porous,a,4,True,Fwd,True,0.027,8,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,stopper_5_a,stopper_5,stopper,a,5,False,Fwd,False,0.249,9,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,complex_1_b,complex_1,complex,b,1,True,None,False,0.52,10,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,complex_6_b,complex_6,complex,b,6,False,None,False,0.857,11,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,porous_3_a,porous_3,porous,a,3,True,None,True,0.295,12,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,complex_5_b,complex_5,complex,b,5,False,None,False,0.529,13,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,stopper_1_a,stopper_1,stopper,a,1,True,Rev,True,0.378,14,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,size_2_c,size_2,size,c,2,True,Fwd,True,0.113,15,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,size_4_c,size_4,size,c,4,True,Fwd,True,0.054,16,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,porous_5_a,porous_5,porous,a,5,False,None,False,0.312,17,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,complex_2_b,complex_2,complex,b,2,True,Rev,False,0.67,18,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,porous_1_a,porous_1,porous,a,1,False,Rev,False,0.177,19,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,porous_6_a,porous_6,porous,a,6,True,Fwd,True,0.137,20,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,porous_2_a,porous_2,porous,a,2,False,Rev,False,0.217,21,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,stopper_3_a,stopper_3,stopper,a,3,True,None,True,0.326,22,False
A10VLJT7V96D9W:3TY7ZAOG5G4W71B2ES11GKYZG3QK0J,size_3_c,size_3,size,c,3,False,Fwd,False,0.384,23,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,stopper_4_a,stopper_4,stopper,a,4,True,None,True,1.446,0,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,stopper_5_a,stopper_5,stopper,a,5,True,Fwd,True,0.707,1,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,stopper_2_a,stopper_2,stopper,a,2,False,Fwd,False,1.032,2,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,complex_4_b,complex_4,complex,b,4,True,Rev,True,0.45,3,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,porous_3_a,porous_3,porous,a,3,False,Rev,False,1.03,4,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,size_5_c,size_5,size,c,5,True,Rev,True,1.187,5,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,complex_3_b,complex_3,complex,b,3,True,Fwd,False,0.554,6,False
A115UFR6VA6OM1:3G0WWMR1UW4L3014S3NWNI6LN27QN6,complex_5_b,complex_5,complex,b,5,True,None,True,0.955,7,False
