Trial,Type,GReach,GLen,RReach,RLen,TotalSteps
complex_1_a,Flood,True,398,False,-1,704
complex_1_a,FloodExpand,True,398,False,-1,704
complex_1_b,Flood,True,398,False,-1,896
complex_1_b,FloodExpand,True,398,False,-1,934
complex_1_c,Flood,True,398,False,-1,722
complex_1_c,FloodExpand,True,398,False,-1,762
complex_2_a,Flood,True,454,False,-1,673
complex_2_a,FloodExpand,True,496,False,-1,653
complex_2_b,Flood,True,454,False,-1,819
complex_2_b,FloodExpand,True,496,False,-1,622
complex_2_c,Flood,True,454,False,-1,1526
complex_2_c,FloodExpand,True,496,False,-1,1566
complex_3_a,Flood,True,735,False,-1,1027
complex_3_a,FloodExpand,True,735,False,-1,1027
complex_3_b,Flood,True,767,False,-1,1059
complex_3_b,FloodExpand,True,807,False,-1,1099
complex_3_c,Flood,True,767,False,-1,1196
complex_3_c,FloodExpand,True,815,False,-1,1346
complex_4_a,Flood,True,405,False,-1,617
complex_4_a,FloodExpand,True,405,False,-1,526
complex_4_b,Flood,True,405,False,-1,617
complex_4_b,FloodExpand,True,413,False,-1,526
complex_4_c,Flood,True,405,False,-1,1176
complex_4_c,FloodExpand,True,413,False,-1,1234
complex_5_a,Flood,True,371,False,-1,1362
complex_5_a,FloodExpand,True,371,False,-1,1402
complex_5_b,Flood,True,371,False,-1,1362
complex_5_b,FloodExpand,True,371,False,-1,1402
complex_5_c,Flood,True,371,False,-1,1362
complex_5_c,FloodExpand,True,371,False,-1,1402
complex_6_a,Flood,True,498,False,-1,660
complex_6_a,FloodExpand,True,633,False,-1,720
complex_6_b,Flood,True,498,False,-1,1283
complex_6_b,FloodExpand,True,633,False,-1,1263
complex_6_c,Flood,True,498,False,-1,1283
complex_6_c,FloodExpand,True,633,False,-1,1263
porous_1_a,Flood,True,530,False,-1,753
porous_1_a,FloodExpand,True,530,False,-1,596
porous_1_b,Flood,True,530,True,260,530
porous_1_b,FloodExpand,True,530,False,-1,596
porous_1_c,Flood,True,530,True,260,530
porous_1_c,FloodExpand,True,530,True,260,530
porous_2_a,Flood,True,366,True,1060,1060
porous_2_a,FloodExpand,True,366,False,-1,580
porous_2_b,Flood,True,366,True,324,366
porous_2_b,FloodExpand,True,366,False,-1,571
porous_2_c,Flood,True,366,True,324,366
porous_2_c,FloodExpand,True,366,True,324,366
porous_3_a,Flood,True,246,False,-1,569
porous_3_a,FloodExpand,True,246,False,-1,549
porous_3_b,Flood,True,246,True,192,246
porous_3_b,FloodExpand,True,246,False,-1,549
porous_3_c,Flood,True,246,True,189,246
porous_3_c,FloodExpand,True,246,True,193,246
porous_4_a,Flood,True,307,False,-1,556
porous_4_a,FloodExpand,True,307,False,-1,516
porous_4_b,Flood,True,307,True,545,545
porous_4_b,FloodExpand,True,307,False,-1,516
porous_4_c,Flood,True,307,True,487,487
porous_4_c,FloodExpand,True,307,True,505,505
porous_5_a,Flood,True,515,False,-1,652
porous_5_a,FloodExpand,True,527,False,-1,592
porous_5_b,Flood,True,515,True,368,515
porous_5_b,FloodExpand,True,527,False,-1,592
porous_5_c,Flood,True,515,True,356,515
porous_5_c,FloodExpand,True,527,True,376,527
porous_6_a,Flood,True,484,False,-1,1306
porous_6_a,FloodExpand,True,484,False,-1,747
porous_6_b,Flood,True,484,True,712,712
porous_6_b,FloodExpand,True,484,False,-1,747
porous_6_c,Flood,True,484,True,665,665
porous_6_c,FloodExpand,True,484,True,685,685
size_1_a,Flood,True,467,False,-1,585
size_1_a,FloodExpand,True,467,False,-1,515
size_1_b,Flood,True,701,False,-1,879
size_1_b,FloodExpand,True,701,False,-1,784
size_1_c,Flood,True,933,False,-1,1171
size_1_c,FloodExpand,True,933,False,-1,1051
size_2_a,Flood,True,213,False,-1,331
size_2_a,FloodExpand,True,224,False,-1,291
size_2_b,Flood,True,318,False,-1,497
size_2_b,FloodExpand,True,325,False,-1,457
size_2_c,Flood,True,424,False,-1,664
size_2_c,FloodExpand,True,427,False,-1,624
size_3_a,Flood,True,330,False,-1,445
size_3_a,FloodExpand,True,344,False,-1,387
size_3_b,Flood,True,494,False,-1,666
size_3_b,FloodExpand,True,504,False,-1,589
size_3_c,Flood,True,658,False,-1,887
size_3_c,FloodExpand,True,665,False,-1,792
size_4_a,Flood,True,412,False,-1,519
size_4_a,FloodExpand,False,-1,False,-1,450
size_4_b,Flood,True,617,False,-1,777
size_4_b,FloodExpand,True,617,False,-1,693
size_4_c,Flood,True,823,False,-1,1036
size_4_c,FloodExpand,True,823,False,-1,931
size_5_a,Flood,True,265,False,-1,389
size_5_a,FloodExpand,True,265,False,-1,349
size_5_b,Flood,True,398,False,-1,584
size_5_b,FloodExpand,True,398,False,-1,544
size_5_c,Flood,True,531,False,-1,779
size_5_c,FloodExpand,True,531,False,-1,739
size_6_a,Flood,True,203,False,-1,415
size_6_a,FloodExpand,True,203,False,-1,322
size_6_b,Flood,True,304,False,-1,622
size_6_b,FloodExpand,True,304,False,-1,492
size_6_c,Flood,True,406,False,-1,829
size_6_c,FloodExpand,True,406,False,-1,663
stopper_1_a,Flood,True,216,True,461,461
stopper_1_a,FloodExpand,True,236,False,-1,432
stopper_1_b,Flood,True,273,True,461,461
stopper_1_b,FloodExpand,True,293,True,501,501
stopper_1_c,Flood,True,353,True,461,461
stopper_1_c,FloodExpand,True,373,True,501,501
stopper_2_a,Flood,True,206,True,759,759
stopper_2_a,FloodExpand,True,206,False,-1,298
stopper_2_b,Flood,True,277,True,759,759
stopper_2_b,FloodExpand,True,277,True,839,839
stopper_2_c,Flood,True,426,True,759,759
stopper_2_c,FloodExpand,True,426,True,839,839
