Trial,Type,GReach,GLen,RReach,RLen,TotalSteps,IsContained
size_2_a,FloodExpand,True,224,False,-1,291,True
porous_4_b,FloodExpand,True,307,False,-1,516,True
stopper_2_a,FloodExpand,True,206,False,-1,298,True
porous_2_c,FloodExpand,True,366,True,324,366,False
stopper_4_c,FloodExpand,True,290,True,388,388,False
size_5_c,FloodExpand,True,531,False,-1,739,True
stopper_1_a,FloodExpand,True,236,False,-1,432,True
porous_1_c,FloodExpand,True,530,True,260,530,False
complex_1_c,FloodExpand,True,398,False,-1,762,True
complex_6_b,FloodExpand,True,633,False,-1,1263,True
stopper_6_b,FloodExpand,True,455,True,819,819,False
size_2_c,FloodExpand,True,427,False,-1,624,True
porous_6_a,FloodExpand,True,484,False,-1,747,True
stopper_4_b,FloodExpand,True,242,False,-1,465,True
complex_1_a,FloodExpand,True,398,False,-1,704,True
size_3_c,FloodExpand,True,665,False,-1,792,True
stopper_3_b,FloodExpand,True,577,True,832,832,False
porous_2_b,FloodExpand,True,366,False,-1,571,True
size_3_a,FloodExpand,True,344,False,-1,387,True
size_5_a,FloodExpand,True,265,False,-1,349,True
stopper_3_a,FloodExpand,True,476,False,-1,596,True
porous_6_b,FloodExpand,True,484,False,-1,747,True
complex_3_a,FloodExpand,True,735,False,-1,1027,True
size_5_b,FloodExpand,True,398,False,-1,544,True
stopper_5_a,FloodExpand,True,185,False,-1,626,True
size_4_a,FloodExpand,False,-1,False,-1,450,False
porous_4_c,FloodExpand,True,307,True,505,505,False
porous_6_c,FloodExpand,True,484,True,685,685,False
stopper_2_b,FloodExpand,True,277,True,839,839,False
stopper_3_c,FloodExpand,True,809,True,832,832,False
complex_4_a,FloodExpand,True,405,False,-1,526,True
complex_5_a,FloodExpand,True,371,False,-1,1402,True
porous_5_c,FloodExpand,True,527,True,376,527,False
size_4_c,FloodExpand,True,823,False,-1,931,True
complex_4_b,FloodExpand,True,413,False,-1,526,True
stopper_1_b,FloodExpand,True,293,True,501,501,False
size_3_b,FloodExpand,True,504,False,-1,589,True
stopper_1_c,FloodExpand,True,373,True,501,501,False
porous_1_b,FloodExpand,True,530,False,-1,596,True
complex_2_a,FloodExpand,True,496,False,-1,653,True
porous_5_b,FloodExpand,True,527,False,-1,592,True
porous_5_a,FloodExpand,True,527,False,-1,592,True
complex_5_b,FloodExpand,True,371,False,-1,1402,True
size_6_a,FloodExpand,True,203,False,-1,322,True
complex_6_c,FloodExpand,True,633,False,-1,1263,True
porous_1_a,FloodExpand,True,530,False,-1,596,True
stopper_5_c,FloodExpand,True,74,True,514,514,False
porous_2_a,FloodExpand,True,366,False,-1,580,True
stopper_6_c,FloodExpand,True,490,True,819,819,False
porous_3_a,FloodExpand,True,246,False,-1,549,True
complex_2_c,FloodExpand,True,496,False,-1,1566,True
size_1_c,FloodExpand,True,933,False,-1,1051,True
complex_2_b,FloodExpand,True,496,False,-1,622,True
stopper_5_b,FloodExpand,True,142,True,514,514,False
complex_3_c,FloodExpand,True,815,False,-1,1346,True
complex_6_a,FloodExpand,True,633,False,-1,720,True
complex_5_c,FloodExpand,True,371,False,-1,1402,True
porous_3_c,FloodExpand,True,246,True,193,246,False
size_1_b,FloodExpand,True,701,False,-1,784,True
porous_4_a,FloodExpand,True,307,False,-1,516,True
size_6_c,FloodExpand,True,406,False,-1,663,True
stopper_2_c,FloodExpand,True,426,True,839,839,False
stopper_4_a,FloodExpand,True,139,False,-1,465,True
stopper_6_a,FloodExpand,True,350,False,-1,861,True
size_1_a,FloodExpand,True,467,False,-1,515,True
complex_3_b,FloodExpand,True,807,False,-1,1099,True
size_2_b,FloodExpand,True,325,False,-1,457,True
complex_1_b,FloodExpand,True,398,False,-1,934,True
size_6_b,FloodExpand,True,304,False,-1,492,True
size_4_b,FloodExpand,True,617,False,-1,693,True
porous_3_b,FloodExpand,True,246,False,-1,549,True
complex_4_c,FloodExpand,True,413,False,-1,1234,True
