Trial,Type,GReach,GLen,RReach,RLen,TotalSteps,IsContained
size_2_a,Flood,True,213,False,-1,331,True
porous_4_b,Flood,True,307,True,545,545,False
stopper_2_a,Flood,True,206,True,759,759,False
porous_2_c,Flood,True,366,True,324,366,False
stopper_4_c,Flood,True,272,True,384,384,False
size_5_c,Flood,True,531,False,-1,779,True
stopper_1_a,Flood,True,216,True,461,461,False
porous_1_c,Flood,True,530,True,260,530,False
complex_1_c,Flood,True,398,False,-1,722,True
complex_6_b,Flood,True,498,False,-1,1283,True
stopper_6_b,Flood,True,436,True,804,804,False
size_2_c,Flood,True,424,False,-1,664,True
porous_6_a,Flood,True,484,False,-1,1306,True
stopper_4_b,Flood,True,224,True,384,384,False
complex_1_a,Flood,True,398,False,-1,704,True
size_3_c,Flood,True,658,False,-1,887,True
stopper_3_b,Flood,True,557,True,832,832,False
porous_2_b,Flood,True,366,True,324,366,False
size_3_a,Flood,True,330,False,-1,445,True
size_5_a,Flood,True,265,False,-1,389,True
stopper_3_a,Flood,True,456,True,832,832,False
porous_6_b,Flood,True,484,True,712,712,False
complex_3_a,Flood,True,735,False,-1,1027,True
size_5_b,Flood,True,398,False,-1,584,True
stopper_5_a,Flood,True,185,True,494,494,False
size_4_a,Flood,True,412,False,-1,519,True
porous_4_c,Flood,True,307,True,487,487,False
porous_6_c,Flood,True,484,True,665,665,False
stopper_2_b,Flood,True,277,True,759,759,False
stopper_3_c,Flood,True,789,True,832,832,False
complex_4_a,Flood,True,405,False,-1,617,True
complex_5_a,Flood,True,371,False,-1,1362,True
porous_5_c,Flood,True,515,True,356,515,False
size_4_c,Flood,True,823,False,-1,1036,True
complex_4_b,Flood,True,405,False,-1,617,True
stopper_1_b,Flood,True,273,True,461,461,False
size_3_b,Flood,True,494,False,-1,666,True
stopper_1_c,Flood,True,353,True,461,461,False
porous_1_b,Flood,True,530,True,260,530,False
complex_2_a,Flood,True,454,False,-1,673,True
porous_5_b,Flood,True,515,True,368,515,False
porous_5_a,Flood,True,515,False,-1,652,True
complex_5_b,Flood,True,371,False,-1,1362,True
size_6_a,Flood,True,203,False,-1,415,True
complex_6_c,Flood,True,498,False,-1,1283,True
porous_1_a,Flood,True,530,False,-1,753,True
stopper_5_c,Flood,True,74,True,494,494,False
porous_2_a,Flood,True,366,True,1060,1060,False
stopper_6_c,Flood,True,471,True,804,804,False
porous_3_a,Flood,True,246,False,-1,569,True
complex_2_c,Flood,True,454,False,-1,1526,True
size_1_c,Flood,True,933,False,-1,1171,True
complex_2_b,Flood,True,454,False,-1,819,True
stopper_5_b,Flood,True,142,True,494,494,False
complex_3_c,Flood,True,767,False,-1,1196,True
complex_6_a,Flood,True,498,False,-1,660,True
complex_5_c,Flood,True,371,False,-1,1362,True
porous_3_c,Flood,True,246,True,189,246,False
size_1_b,Flood,True,701,False,-1,879,True
porous_4_a,Flood,True,307,False,-1,556,True
size_6_c,Flood,True,406,False,-1,829,True
stopper_2_c,Flood,True,426,True,759,759,False
stopper_4_a,Flood,True,139,True,384,384,False
stopper_6_a,Flood,True,331,True,804,804,False
size_1_a,Flood,True,467,False,-1,585,True
complex_3_b,Flood,True,767,False,-1,1059,True
size_2_b,Flood,True,318,False,-1,497,True
complex_1_b,Flood,True,398,False,-1,896,True
size_6_b,Flood,True,304,False,-1,622,True
size_4_b,Flood,True,617,False,-1,777,True
porous_3_b,Flood,True,246,True,192,246,False
complex_4_c,Flood,True,405,False,-1,1176,True
