Trial,Type,GReach,GLen,RReach,RLen,TotalSteps,IsContained
size_2_a,Parsing,True,6,False,-1,10,True
porous_4_b,Parsing,True,2,True,6,6,False
stopper_2_a,Parsing,True,2,False,-1,3,True
porous_2_c,Parsing,True,13,True,11,13,False
stopper_4_c,Parsing,True,8,True,10,10,False
size_5_c,Parsing,True,11,False,-1,14,True
stopper_1_a,Parsing,True,5,True,13,13,False
porous_1_c,Parsing,True,1,True,5,5,False
complex_1_c,Parsing,True,13,True,79,79,False
complex_6_b,Parsing,True,28,True,34,34,False
stopper_6_b,Parsing,True,13,True,15,15,False
size_2_c,Parsing,True,7,False,-1,12,True
porous_6_a,Parsing,True,3,False,-1,8,True
stopper_4_b,Parsing,True,7,True,10,10,False
complex_1_a,Parsing,True,2,True,10,10,False
size_3_c,Parsing,True,7,False,-1,11,True
stopper_3_b,Parsing,True,10,True,12,12,False
porous_2_b,Parsing,True,13,True,13,13,False
size_3_a,Parsing,True,7,False,-1,12,True
size_5_a,Parsing,True,11,False,-1,14,True
stopper_3_a,Parsing,True,9,True,14,14,False
porous_6_b,Parsing,True,5,True,5,5,False
complex_3_a,Parsing,True,9,True,10,10,False
size_5_b,Parsing,True,11,False,-1,14,True
stopper_5_a,Parsing,True,1,False,-1,12,True
size_4_a,Parsing,True,5,False,-1,9,True
porous_4_c,Parsing,True,3,True,5,5,False
porous_6_c,Parsing,True,5,True,5,5,False
stopper_2_b,Parsing,True,5,True,14,14,False
stopper_3_c,Parsing,True,10,True,12,12,False
complex_4_a,Parsing,True,3,False,-1,7,True
complex_5_a,Parsing,True,5,False,-1,20,True
porous_5_c,Parsing,True,11,True,7,11,False
size_4_c,Parsing,True,5,False,-1,9,True
complex_4_b,Parsing,True,15,False,-1,20,True
stopper_1_b,Parsing,True,6,True,13,13,False
size_3_b,Parsing,True,7,False,-1,12,True
stopper_1_c,Parsing,True,7,True,12,12,False
porous_1_b,Parsing,True,1,True,6,6,False
complex_2_a,Parsing,True,10,True,21,21,False
porous_5_b,Parsing,True,11,True,7,11,False
porous_5_a,Parsing,True,11,False,-1,14,True
complex_5_b,Parsing,True,16,False,-1,39,True
size_6_a,Parsing,True,5,False,-1,9,True
complex_6_c,Parsing,True,38,True,60,60,False
porous_1_a,Parsing,True,1,False,-1,3,True
stopper_5_c,Parsing,True,1,True,12,12,False
porous_2_a,Parsing,True,1,True,10,10,False
stopper_6_c,Parsing,True,13,True,15,15,False
porous_3_a,Parsing,True,1,False,-1,6,True
complex_2_c,Parsing,True,19,False,-1,78,True
size_1_c,Parsing,True,3,False,-1,6,True
complex_2_b,Parsing,True,14,True,32,32,False
stopper_5_b,Parsing,True,1,True,12,12,False
complex_3_c,Parsing,True,52,True,95,95,False
complex_6_a,Parsing,True,22,True,27,27,False
complex_5_c,Parsing,True,21,False,-1,71,True
porous_3_c,Parsing,True,1,True,5,5,False
size_1_b,Parsing,True,3,False,-1,5,True
porous_4_a,Parsing,True,2,False,-1,5,True
size_6_c,Parsing,True,5,False,-1,9,True
stopper_2_c,Parsing,True,7,True,14,14,False
stopper_4_a,Parsing,True,2,True,12,12,False
stopper_6_a,Parsing,True,7,True,20,20,False
size_1_a,Parsing,True,3,False,-1,3,True
complex_3_b,Parsing,True,32,True,60,60,False
size_2_b,Parsing,True,7,False,-1,11,True
complex_1_b,Parsing,True,7,True,23,23,False
size_6_b,Parsing,True,5,False,-1,9,True
size_4_b,Parsing,True,5,False,-1,9,True
porous_3_b,Parsing,True,1,True,6,6,False
complex_4_c,Parsing,True,23,True,84,84,False
