Trial,Type,GReach,GLen,RReach,RLen,TotalSteps,IsContained
stopper_6_c,RRT,True,91,True,385,385,False
stopper_6_b,RRT,True,42,False,-1,1529,True
stopper_6_a,RRT,True,308,False,-1,1218,True
stopper_5_c,RRT,True,9,True,283,283,False
stopper_5_b,RRT,True,14,False,-1,362,True
stopper_5_a,RRT,True,30,False,-1,437,True
stopper_4_c,RRT,True,68,False,-1,76,True
stopper_4_b,RRT,True,57,False,-1,71,True
stopper_4_a,RRT,True,20,False,-1,59,True
stopper_3_c,RRT,True,141,True,155,155,False
stopper_3_b,RRT,True,40,True,166,166,False
stopper_3_a,RRT,True,35,False,-1,2924,True
stopper_2_c,RRT,False,-1,False,-1,45,False
stopper_2_b,RRT,True,36,False,-1,56,True
stopper_2_a,RRT,True,40,False,-1,47,True
stopper_1_c,RRT,True,76,False,-1,86,True
stopper_1_b,RRT,False,-1,False,-1,56,False
stopper_1_a,RRT,True,34,False,-1,69,True
size_6_c,RRT,True,167,False,-1,340,True
size_6_b,RRT,False,-1,False,-1,56,False
size_6_a,RRT,True,43,False,-1,58,True
size_5_c,RRT,False,-1,False,-1,62,False
size_5_b,RRT,True,106,False,-1,133,True
size_5_a,RRT,True,38,False,-1,40,True
size_4_c,RRT,False,-1,False,-1,150,False
size_4_b,RRT,False,-1,False,-1,89,False
size_4_a,RRT,False,-1,False,-1,35,False
size_3_c,RRT,True,122,False,-1,940,True
size_3_b,RRT,False,-1,False,-1,94,False
size_3_a,RRT,False,-1,False,-1,31,False
size_2_c,RRT,False,-1,False,-1,17,False
size_2_b,RRT,False,-1,False,-1,34,False
size_2_a,RRT,False,-1,False,-1,21,False
size_1_c,RRT,True,133,False,-1,3001,True
size_1_b,RRT,True,90,False,-1,372,True
size_1_a,RRT,True,41,False,-1,81,True
porous_6_c,RRT,True,405,True,199,405,False
porous_6_b,RRT,False,-1,False,-1,71,False
porous_6_a,RRT,True,210,False,-1,1484,True
porous_5_c,RRT,False,-1,False,-1,58,False
porous_5_b,RRT,True,68,False,-1,117,True
porous_5_a,RRT,True,82,False,-1,100,True
porous_4_c,RRT,True,30,True,104,104,False
porous_4_b,RRT,True,67,False,-1,227,True
porous_4_a,RRT,True,63,False,-1,249,True
porous_3_c,RRT,True,69,True,102,102,False
porous_3_b,RRT,False,-1,False,-1,86,False
porous_3_a,RRT,True,145,False,-1,212,True
porous_2_c,RRT,True,72,True,202,202,False
porous_2_b,RRT,True,66,False,-1,161,True
porous_2_a,RRT,True,80,False,-1,390,True
porous_1_c,RRT,False,-1,False,-1,69,False
porous_1_b,RRT,False,-1,False,-1,43,False
porous_1_a,RRT,True,78,False,-1,80,True
complex_6_c,RRT,False,-1,False,-1,27,False
complex_6_b,RRT,False,-1,False,-1,24,False
complex_6_a,RRT,False,-1,False,-1,15,False
complex_5_c,RRT,True,86,False,-1,1015,True
complex_5_b,RRT,True,122,False,-1,1849,True
complex_5_a,RRT,True,124,False,-1,457,True
complex_4_c,RRT,False,-1,False,-1,250,False
complex_4_b,RRT,False,-1,False,-1,54,False
complex_4_a,RRT,True,67,False,-1,143,True
complex_3_c,RRT,False,-1,False,-1,38,False
complex_3_b,RRT,True,193,False,-1,2462,True
complex_3_a,RRT,True,237,False,-1,3001,True
complex_2_c,RRT,False,-1,False,-1,7,False
complex_2_b,RRT,False,-1,False,-1,12,False
complex_2_a,RRT,False,-1,False,-1,3,False
complex_1_c,RRT,True,96,False,-1,818,True
complex_1_b,RRT,False,-1,False,-1,79,False
complex_1_a,RRT,True,90,False,-1,301,True
