Trial,Type,Direction,Time,Bounces
complex_1_a,Contain,Fwd,2.436,3
complex_1_a,Contain,Rev,5.736,7
complex_1_b,Contain,Fwd,5.008,7
complex_1_b,Contain,Rev,9.635,13
complex_1_c,Contain,Fwd,2.688,29
complex_1_c,Contain,Rev,3.978,7
complex_2_a,Contain,Fwd,2.728,5
complex_2_a,Contain,Rev,5.894,17
complex_2_b,Contain,Fwd,2.728,6
complex_2_b,Contain,Rev,6.734,22
complex_2_c,Contain,Fwd,2.728,6
complex_2_c,Contain,Rev,6.734,22
complex_3_a,Contain,Fwd,3.127,4
complex_3_a,Contain,Rev,16.13,16
complex_3_b,Contain,Fwd,3.127,5
complex_3_b,Contain,Rev,7.375,7
complex_3_c,Contain,Fwd,3.137,5
complex_3_c,Contain,Rev,7.235,13
complex_4_a,Contain,Fwd,1.274,1
complex_4_a,Contain,Rev,2.084,2
complex_4_b,Contain,Fwd,1.274,1
complex_4_b,Contain,Rev,2.084,3
complex_4_c,Contain,Fwd,1.274,1
complex_4_c,Contain,Rev,2.12,3
complex_5_a,Contain,Fwd,1.673,1
complex_5_a,Contain,Rev,2.254,2
complex_5_b,Contain,Fwd,1.663,1
complex_5_b,Contain,Rev,2.254,2
complex_5_c,Contain,Fwd,1.663,1
complex_5_c,Contain,Rev,2.254,2
complex_6_a,Contain,Fwd,3.195,6
complex_6_a,Contain,Rev,6.087,12
complex_6_b,Contain,Fwd,3.195,6
complex_6_b,Contain,Rev,6.087,12
complex_6_c,Contain,Fwd,3.195,6
complex_6_c,Contain,Rev,6.087,12
porous_1_a,Contain,Fwd,1.849,2
porous_1_a,Contain,Rev,2.983,5
porous_1_b,Contain,Fwd,1.849,2
porous_1_b,Contain,Rev,2.983,4
porous_1_c,Contain,Fwd,1.849,2
porous_1_c,Contain,Rev,2.983,4
porous_2_a,Contain,Fwd,2.74,3
porous_2_a,Contain,Rev,5.038,7
porous_2_b,Contain,Fwd,2.74,3
porous_2_b,Contain,Rev,4.942,7
porous_2_c,Contain,Fwd,2.74,3
porous_2_c,Contain,Rev,4.942,7
porous_3_a,Contain,Fwd,1.336,1
porous_3_a,Contain,Rev,1.982,2
porous_3_b,Contain,Fwd,1.336,1
porous_3_b,Contain,Rev,1.982,2
porous_3_c,Contain,Fwd,1.336,1
porous_3_c,Contain,Rev,1.982,2
porous_4_a,Contain,Fwd,1.461,1
porous_4_a,Contain,Rev,3.924,4
porous_4_b,Contain,Fwd,1.461,1
porous_4_b,Contain,Rev,3.924,4
porous_4_c,Contain,Fwd,1.461,1
porous_4_c,Contain,Rev,3.924,4
porous_5_a,Contain,Fwd,3.229,10
porous_5_a,Contain,Rev,5.263,12
porous_5_b,Contain,Fwd,3.229,10
porous_5_b,Contain,Rev,5.263,12
porous_5_c,Contain,Fwd,3.229,10
