Trial,WhichOnLeft
complex_1_a,R
complex_1_b,R
complex_1_c,R
complex_2_a,R
complex_2_b,R
complex_2_c,R
complex_3_a,None
complex_3_b,None
complex_3_c,None
complex_4_a,None
complex_4_b,None
complex_4_c,None
complex_5_a,R
complex_5_b,R
complex_5_c,R
complex_6_a,G
complex_6_b,G
complex_6_c,G
porous_1_a,G
porous_1_b,G
porous_1_c,G
porous_2_a,R
porous_2_b,R
porous_2_c,R
porous_3_a,None
porous_3_b,None
porous_3_c,None
porous_4_a,R
porous_4_b,R
porous_4_c,R
porous_5_a,G
porous_5_b,G
porous_5_c,G
porous_6_a,R
porous_6_b,R
porous_6_c,R
regular_0,None
regular_1,R
regular_10,G
regular_11,None
regular_12,G
regular_13,None
regular_14,R
regular_15,G
regular_16,R
regular_17,R
regular_18,R
regular_19,R
regular_2,G
regular_20,R
regular_21,R
regular_22,G
regular_23,None
regular_24,G
regular_25,G
regular_26,R
regular_27,None
regular_28,R
regular_29,G
regular_3,G
regular_30,R
regular_31,R
regular_32,R
regular_33,None
regular_34,G
regular_35,None
regular_36,None
regular_37,G
regular_38,None
regular_39,G
regular_4,R
regular_40,G
regular_41,G
regular_42,G
regular_43,R
regular_44,G
regular_45,None
regular_46,G
regular_47,G
regular_48,R
regular_49,R
regular_5,G
regular_50,G
regular_51,R
regular_52,None
regular_53,None
regular_54,G
regular_55,None
regular_56,None
regular_57,None
regular_58,R
regular_59,G
regular_6,None
regular_60,R
regular_61,R
regular_62,G
regular_63,G
regular_64,G
regular_65,G
regular_66,None
regular_67,R
regular_68,G
regular_69,G
regular_7,G
regular_70,R
regular_71,None
regular_72,None
regular_73,R
regular_74,R
regular_75,R
regular_76,None
regular_77,G
regular_78,G
regular_79,None
regular_8,None
regular_80,G
regular_81,R
regular_82,None
regular_83,None
regular_84,G
regular_85,G
regular_86,R
regular_87,G
regular_88,R
regular_89,R
regular_9,G
regular_90,G
regular_91,G
regular_92,R
regular_93,G
regular_94,None
regular_95,None
size_1_a,G
size_1_b,G
size_1_c,G
size_2_a,G
size_2_b,G
size_2_c,G
size_3_a,R
size_3_b,R
size_3_c,R
size_4_a,R
size_4_b,R
size_4_c,R
size_5_a,R
size_5_b,R
size_5_c,R
size_6_a,G
size_6_b,G
size_6_c,G
stopper_1_a,G
stopper_1_b,None
stopper_1_c,None
stopper_2_a,R
stopper_2_b,R
stopper_2_c,R
stopper_3_a,None
stopper_3_b,None
stopper_3_c,R
stopper_4_a,G
stopper_4_b,G
stopper_4_c,G
stopper_5_a,None
stopper_5_b,None
stopper_5_c,None
stopper_6_a,G
stopper_6_b,G
stopper_6_c,G
