Trial,Goal,PGreen,PRed,AvgBounces,AvgTime
complex_5_c,G,0.9704,0.0,17.8252,7.46227
stopper_4_c,G,0.885,0.111,3.4804,3.31896
complex_4_c,G,0.9562,0.0,10.3298,5.31313
porous_6_a,G,0.9994,0.0,2.674,4.70505
stopper_1_a,G,0.9928,0.0,4.5746,3.40612
complex_3_b,G,0.835,0.0,25.7538,21.48182
complex_2_b,G,0.9736,0.0,21.4112,9.81983
porous_6_b,G,0.9978,0.0018,2.6708,4.64195
stopper_2_c,G,0.962,0.0368,5.914,5.45984
size_3_b,G,0.9824,0.0,20.1542,10.55123
stopper_5_a,G,0.9998,0.0,5.6268,6.09724
stopper_4_a,G,1.0,0.0,0.139,0.82342
porous_2_a,G,1.0,0.0,4.5458,4.64851
size_6_c,G,0.9996,0.0,2.351,3.36225
complex_5_b,G,0.9918,0.0,10.998,6.43213
size_2_c,G,0.9748,0.0,15.924,8.86043
size_1_a,G,0.997,0.0022,8.3224,6.83528
complex_4_a,G,0.9998,0.0,2.01,3.00523
size_3_c,G,0.9574,0.0,18.3614,13.76083
stopper_6_b,G,0.8534,0.0,21.3584,16.16878
complex_1_c,G,0.722,0.0002,46.8454,26.29499
stopper_2_a,G,1.0,0.0,0.4974,1.20342
complex_6_c,G,0.652,0.0,59.0672,26.8062
size_2_a,G,0.9782,0.0196,23.8838,5.08721
size_5_b,G,0.99,0.0066,5.3252,4.00948
stopper_3_a,G,0.9508,0.0,10.6956,8.69386
size_3_a,G,0.9954,0.0016,20.4596,6.71998
porous_3_b,G,0.9998,0.0002,2.3896,2.77891
stopper_1_c,G,0.7994,0.1942,6.2454,5.00589
porous_1_a,G,0.9996,0.0004,1.5818,2.06493
size_4_b,G,0.9994,0.0004,8.3152,4.66641
complex_6_a,G,0.784,0.0,55.2016,24.39176
complex_5_a,G,0.9998,0.0,2.7234,3.22217
size_4_a,G,0.995,0.0046,8.4156,2.98366
size_6_a,G,0.9414,0.047,3.1718,2.77348
complex_3_a,G,0.978,0.0,7.48,8.08961
porous_3_a,G,1.0,0.0,2.3748,2.77552
porous_2_c,G,0.7614,0.2386,8.6858,6.18349
complex_3_c,G,0.7884,0.0,47.2956,23.99075
porous_5_c,G,0.7666,0.2298,19.9508,8.27632
complex_6_b,G,0.6234,0.0,50.7628,27.42739
size_1_b,G,0.9906,0.0,8.7258,11.06653
size_4_c,G,0.9986,0.0,8.0262,6.36853
porous_3_c,G,0.9598,0.04,2.1744,2.55903
size_1_c,G,0.9726,0.0,8.6512,14.83628
porous_5_b,G,0.9562,0.0122,27.6858,11.85734
size_6_b,G,1.0,0.0,2.0076,2.25167
porous_1_b,G,0.9984,0.0012,1.5336,2.07588
stopper_1_b,G,0.9842,0.01,4.465,3.33041
complex_2_c,G,0.8828,0.0,41.0714,14.89749
size_5_a,G,0.9994,0.0006,4.885,2.24751
porous_6_c,G,0.7058,0.2942,2.1948,4.04394
stopper_3_b,G,0.8828,0.0714,10.9332,9.19379
complex_2_a,G,0.9946,0.0,12.8434,6.82052
size_5_c,G,0.9928,0.0,8.0104,7.0907
complex_1_b,G,0.7426,0.0,39.623,29.43278
porous_4_b,G,0.9998,0.0,3.7012,4.24813
porous_5_a,G,0.9668,0.0006,27.8152,12.00967
porous_4_a,G,0.9996,0.0,3.7354,4.28385
stopper_3_c,G,0.7228,0.2074,14.5432,13.06492
stopper_6_c,G,0.7422,0.108,21.8766,16.93737
porous_4_c,G,0.9252,0.0744,3.4276,3.92967
stopper_5_b,G,0.9996,0.0004,3.9102,4.32574
complex_1_a,G,1.0,0.0,2.214,2.30718
stopper_2_b,G,1.0,0.0,2.2384,2.5192
size_2_b,G,0.9834,0.0082,14.9444,5.8226
stopper_4_b,G,0.9986,0.0,2.676,2.54539
stopper_5_c,G,0.9148,0.0852,3.4248,3.55409
complex_4_b,G,0.9856,0.0,7.4278,4.62399
porous_1_c,G,0.9972,0.0028,1.5372,2.05606
porous_2_b,G,0.9706,0.029,5.9566,4.89487
stopper_6_a,G,0.871,0.0,16.2228,14.09323
