Trial,Goal,PGreen,PRed,AvgBounces,AvgTime
complex_5_c,G,0.9732,0.0,16.6546,8.03406
stopper_4_c,G,0.8638,0.1186,13.5176,9.99842
complex_4_c,G,0.7508,0.0,53.956,22.59962
porous_6_a,G,0.9996,0.0,2.8472,5.07298
stopper_1_a,G,0.9788,0.0,15.7466,10.71926
complex_3_b,G,0.8034,0.0,30.5544,25.26032
complex_2_b,G,0.948,0.0,37.6038,16.24655
porous_6_b,G,0.9994,0.0004,2.833,5.00811
stopper_2_c,G,0.949,0.0488,12.0394,9.74555
size_3_b,G,0.9748,0.0002,27.8252,13.43747
stopper_5_a,G,1.0,0.0,5.3294,5.50206
stopper_4_a,G,1.0,0.0,3.9896,3.2514
porous_2_a,G,1.0,0.0,4.1448,4.5642
size_6_c,G,0.9964,0.0,5.3988,6.99968
complex_5_b,G,0.9852,0.0,13.583,7.62335
size_2_c,G,0.9552,0.0,28.484,15.38588
size_1_a,G,0.995,0.0048,8.5368,7.28334
complex_4_a,G,0.999,0.0,5.826,7.19502
size_3_c,G,0.9488,0.0,24.2964,16.62788
stopper_6_b,G,0.7654,0.0,29.4784,24.95609
complex_1_c,G,0.7098,0.0,46.21,26.92221
stopper_2_a,G,1.0,0.0,4.3458,3.83041
complex_6_c,G,0.5082,0.0,76.6988,34.77013
size_2_a,G,0.9754,0.0162,48.3944,9.64464
size_5_b,G,0.9888,0.0054,14.365,8.43611
stopper_3_a,G,0.8668,0.0,21.8836,19.7454
size_3_a,G,0.9932,0.0034,28.5372,8.62396
porous_3_b,G,0.9988,0.0012,3.941,4.62999
stopper_1_c,G,0.7766,0.1994,16.7096,11.74474
porous_1_a,G,1.0,0.0,9.474,5.29349
size_4_b,G,0.9982,0.0006,13.3906,6.97512
complex_6_a,G,0.708,0.0,69.42,30.4952
complex_5_a,G,0.9926,0.0,7.4716,5.63841
size_4_a,G,0.9846,0.0152,13.7136,4.30324
size_6_a,G,0.9368,0.0506,6.234,4.73143
complex_3_a,G,0.9294,0.0,17.175,18.00407
porous_3_a,G,1.0,0.0,3.9434,4.70478
porous_2_c,G,0.7424,0.2576,7.1096,5.42591
complex_3_c,G,0.737,0.0,61.2214,28.1173
porous_5_c,G,0.6764,0.3166,22.8746,10.37272
complex_6_b,G,0.471,0.0,63.1498,35.60039
size_1_b,G,0.9924,0.0,8.5476,11.11431
size_4_c,G,0.9926,0.0,12.6184,9.36456
porous_3_c,G,0.8104,0.1894,3.4066,4.08095
size_1_c,G,0.9694,0.0,8.5356,14.82949
porous_5_b,G,0.9364,0.0182,33.0898,15.18664
size_6_b,G,0.9994,0.0,5.1104,5.3423
porous_1_b,G,0.999,0.001,8.9996,5.21743
stopper_1_b,G,0.9552,0.0238,15.842,10.69339
complex_2_c,G,0.8328,0.0,58.1444,20.89507
size_5_a,G,0.9994,0.0006,13.0348,4.70792
porous_6_c,G,0.8404,0.1596,2.5052,4.57003
stopper_3_b,G,0.8016,0.069,21.9882,19.85773
complex_2_a,G,0.9884,0.0,23.542,11.78781
size_5_c,G,0.9866,0.0,14.6008,11.85154
complex_1_b,G,0.7628,0.0,36.9964,28.01743
porous_4_b,G,0.999,0.0004,5.7476,6.87336
porous_5_a,G,0.9512,0.0006,34.4048,15.93628
porous_4_a,G,0.9992,0.0,5.9238,7.10496
stopper_3_c,G,0.6588,0.177,24.2848,22.69544
stopper_6_c,G,0.6984,0.0642,29.6918,25.01928
porous_4_c,G,0.8346,0.1646,4.8748,5.92419
stopper_5_b,G,1.0,0.0,3.9444,4.07515
complex_1_a,G,0.9996,0.0,7.6028,7.66713
stopper_2_b,G,1.0,0.0,7.5516,6.26549
size_2_b,G,0.9682,0.01,34.1706,12.64028
stopper_4_b,G,0.9936,0.0,12.3466,8.83112
stopper_5_c,G,0.9778,0.0222,3.2298,3.22555
complex_4_b,G,0.934,0.0,31.1392,16.25316
porous_1_c,G,0.8474,0.1526,8.3966,4.79596
porous_2_b,G,0.9764,0.0234,4.8744,4.48006
stopper_6_a,G,0.7936,0.0,26.3064,23.2436
