Trial,Goal,PGreen,PRed,AvgBounces,AvgTime
regular_42,G,0.4928,0.5072,1.9382,2.61397
regular_6,G,0.2602,0.7398,2.5236,3.78083
regular_49,R,0.6998,0.3002,3.2728,4.6287
regular_19,G,0.71,0.29,2.7798,5.15344
regular_30,G,0.7268,0.2732,4.25,6.15673
regular_47,R,0.6856,0.3142,3.4194,4.92264
regular_90,G,0.2804,0.7196,15.414,5.90053
regular_5,R,0.471,0.5288,2.802,5.4459
regular_75,R,0.3946,0.6038,8.5706,7.75949
regular_37,R,0.1192,0.8794,7.4284,8.76145
regular_15,G,0.171,0.829,1.5764,2.11374
regular_24,G,0.8356,0.1644,3.175,3.69368
regular_33,R,0.716,0.284,4.1468,5.76253
regular_14,G,0.382,0.6166,5.2816,7.06591
regular_78,G,0.1786,0.8006,19.9738,13.20084
regular_85,G,0.9268,0.0732,4.7662,3.62769
regular_1,G,0.4862,0.5126,4.5578,7.64973
regular_83,G,0.4622,0.5356,10.3836,8.69194
regular_16,G,0.585,0.415,5.339,4.41325
regular_95,G,0.8884,0.1112,9.517,7.1752
regular_41,R,0.1178,0.8816,7.7984,6.97489
regular_18,G,0.7432,0.254,6.5498,9.58214
regular_56,R,0.1052,0.8946,4.8476,4.56313
regular_60,R,0.2966,0.7012,8.3954,6.90897
regular_73,G,0.738,0.1854,23.707,15.62004
regular_4,R,0.1884,0.8102,4.3824,6.10902
regular_29,R,0.2786,0.7214,3.4294,5.49073
regular_62,G,0.8066,0.1924,5.948,5.69191
regular_10,R,0.472,0.528,1.5386,3.59008
regular_21,R,0.6968,0.3028,6.1114,5.01427
regular_51,G,0.9352,0.0634,10.3932,7.83775
regular_57,G,0.6508,0.3492,2.4526,3.75895
regular_22,G,0.3448,0.6512,22.016,6.75609
regular_63,R,0.4564,0.543,8.261,7.2263
regular_72,R,0.1704,0.8292,12.7818,7.9844
regular_3,R,0.0892,0.9108,2.2206,3.28754
regular_91,R,0.899,0.1002,6.3036,5.54401
regular_35,G,0.4552,0.5382,6.8218,9.32978
regular_45,G,0.341,0.6588,3.1624,5.22797
regular_74,G,0.399,0.601,7.8234,6.20173
regular_67,G,0.9502,0.0498,3.1042,3.77901
regular_43,R,0.6722,0.3276,3.5242,4.92743
regular_11,R,0.3346,0.657,6.4192,9.9991
regular_64,G,0.6596,0.3402,3.907,4.59797
regular_59,R,0.4754,0.5246,3.8428,4.87905
regular_54,R,0.5816,0.4182,5.245,6.4102
regular_13,G,0.2478,0.7522,3.8868,6.42585
regular_12,G,0.6714,0.3276,4.3326,7.37956
regular_32,R,0.6032,0.3914,6.2554,9.09861
regular_27,G,0.4308,0.5672,5.568,8.37022
regular_65,G,0.2902,0.7098,4.5288,6.071
regular_58,G,0.2786,0.7208,5.1468,6.88394
regular_82,R,0.0156,0.9488,26.9204,16.96127
regular_81,G,0.973,0.023,8.5322,8.09501
regular_89,R,0.5028,0.4972,2.5384,3.1865
regular_55,G,0.6032,0.3952,8.5404,8.57511
regular_80,R,0.7172,0.2828,3.2398,3.62752
regular_68,R,0.4308,0.5692,5.2366,5.24042
regular_7,G,0.9076,0.0924,2.5322,3.79916
regular_2,G,0.3516,0.648,4.091,5.98261
regular_26,R,0.0,0.9998,6.1546,5.69284
regular_8,R,0.3426,0.6562,4.4916,6.50691
regular_0,R,0.5056,0.4942,1.5422,3.21963
regular_93,G,0.3406,0.614,22.9384,19.19383
regular_9,R,0.3826,0.6174,1.6666,3.45768
regular_84,G,0.908,0.082,24.601,13.84381
regular_28,R,0.1824,0.8176,1.764,2.57914
regular_39,G,0.5014,0.4986,10.6796,6.77695
regular_25,R,0.5844,0.4154,3.1312,4.00596
regular_66,R,0.5494,0.4458,9.23,9.72692
regular_71,R,0.232,0.7678,3.4402,4.41316
regular_20,G,0.572,0.428,3.09,5.19342
regular_88,G,0.1144,0.8822,15.324,8.34454
regular_79,G,0.7094,0.2444,18.366,16.54519
regular_92,R,0.2354,0.763,9.9808,9.0733
regular_53,R,0.6136,0.3828,10.0242,9.14767
regular_77,G,0.9998,0.0002,1.9318,2.31671
regular_69,G,0.544,0.4552,8.5602,9.05641
regular_86,G,0.9006,0.0994,9.3136,6.9584
regular_40,R,0.4992,0.4998,3.5534,6.63202
regular_48,R,0.5356,0.4644,2.8556,3.42291
regular_76,R,0.0764,0.912,15.0192,13.8489
regular_34,G,0.4796,0.5204,4.989,5.78538
regular_87,G,0.7808,0.2192,2.976,3.01162
regular_52,R,0.5608,0.4386,8.0198,7.96773
regular_36,G,0.4146,0.5854,1.405,3.06071
regular_70,G,0.5526,0.4474,2.3036,3.61345
regular_23,R,0.4488,0.541,6.6572,11.03526
regular_50,R,0.784,0.216,4.1056,4.87017
regular_38,G,0.659,0.341,7.6932,5.47544
regular_31,G,0.304,0.6952,4.6026,6.68248
regular_46,G,0.4988,0.501,5.912,6.45012
regular_94,G,0.2358,0.7642,2.4642,2.65074
regular_44,G,0.5448,0.455,6.7936,7.99852
regular_17,G,0.5536,0.4456,4.0348,6.70285
regular_61,R,0.1338,0.8662,3.4888,3.91652
