Trial,IsContained,Direction,Goal,PGreen,PRed,PTimeUp,AvgBounces,AvgTime
complex_4_a,contained,forward,G,0.9988,0.0,0.0012,2.0144,3.02279
complex_4_a,contained,reverse,G,0.995,0.0024,0.0026,4.4574,5.68369
complex_4_a,contained,none,G,0.996,0.0,0.004,5.9888,6.8829
porous_2_b,contained,forward,G,0.9712,0.0282,0.0006,5.941,4.91181
porous_2_b,contained,reverse,G,0.9436,0.0558,0.0006,7.8918,5.99591
porous_2_b,contained,none,G,0.973,0.0262,0.0008,5.118,4.06038
complex_2_a,contained,forward,G,0.9848,0.0,0.0152,12.848,6.78071
complex_2_a,contained,reverse,G,0.962,0.0004,0.0376,33.9834,14.85397
complex_2_a,contained,none,G,0.9684,0.0,0.0316,27.4222,12.65909
complex_6_b,contained,forward,G,0.5944,0.0,0.4056,44.1194,23.37307
complex_6_b,contained,reverse,G,0.2626,0.0,0.7374,56.6762,34.83612
complex_6_b,contained,none,G,0.3958,0.0,0.6042,55.4074,30.89812
size_6_b,contained,forward,G,0.9994,0.0,0.0006,2.1324,2.36616
size_6_b,contained,reverse,G,0.995,0.0,0.005,8.7264,8.0936
size_6_b,contained,none,G,0.9958,0.0,0.0042,6.1886,5.66879
porous_5_b,contained,forward,G,0.9248,0.0202,0.055,26.7442,11.41282
porous_5_b,contained,reverse,G,0.8604,0.0368,0.1028,37.0098,17.86787
porous_5_b,contained,none,G,0.886,0.0238,0.0902,34.8232,15.72622
size_3_a,contained,forward,G,0.9906,0.002,0.0074,20.5404,6.70011
size_3_a,contained,reverse,G,0.9784,0.0066,0.015,45.4452,10.45382
size_3_a,contained,none,G,0.9898,0.0004,0.0098,32.443,8.86983
size_6_c,contained,forward,G,0.9974,0.0,0.0026,2.2608,3.26005
size_6_c,contained,reverse,G,0.9838,0.0,0.0162,8.9234,10.64969
size_6_c,contained,none,G,0.9916,0.0,0.0084,6.5662,7.509
size_1_a,contained,forward,G,0.9952,0.003,0.0018,8.4976,6.95964
size_1_a,contained,reverse,G,0.9962,0.0026,0.0012,8.3226,7.0699
size_1_a,contained,none,G,0.9834,0.0144,0.0022,8.3036,6.59802
porous_5_a,contained,forward,G,0.9412,0.0006,0.0582,26.7392,11.52585
porous_5_a,contained,reverse,G,0.878,0.0,0.122,38.3094,18.85244
porous_5_a,contained,none,G,0.912,0.0,0.088,34.4088,15.78813
complex_6_c,contained,forward,G,0.6078,0.0,0.3922,51.8524,23.45325
complex_6_c,contained,reverse,G,0.3308,0.0,0.6692,73.4256,33.49321
complex_6_c,contained,none,G,0.4268,0.0,0.5732,67.5484,30.36476
complex_4_b,contained,forward,G,0.9736,0.0,0.0264,7.1906,4.49335
complex_4_b,contained,reverse,G,0.9388,0.0016,0.0596,16.8366,9.63318
complex_4_b,contained,none,G,0.8948,0.0,0.1052,29.6308,15.18109
complex_1_a,contained,forward,G,0.9996,0.0,0.0004,2.241,2.35223
complex_1_a,contained,reverse,G,0.996,0.0,0.004,9.4106,9.543
complex_1_a,contained,none,G,0.995,0.0,0.005,7.9592,7.47244
size_6_a,contained,forward,G,0.9454,0.0402,0.0144,2.9956,2.58879
size_6_a,contained,reverse,G,0.9816,0.0184,-2.77555756156e-17,8.8712,5.04847
size_6_a,contained,none,G,0.9844,0.0142,0.0014,6.5002,3.67847
porous_6_b,contained,forward,G,0.998,0.001,0.001,2.7442,4.74212
porous_6_b,contained,reverse,G,0.9936,0.0046,0.0018,3.295,5.6752
porous_6_b,contained,none,G,0.997,0.0016,0.0014,2.9436,4.60962
