Trial,First Decision PRGA
QTr1,0.999440724
QTr2,0.999947744
QTr3,0.999718472
QTr4,1
QTr5,0.380732804
RTr_Bl1_0,0.556602468
RTr_Bl1_1,0.820444777
RTr_Bl1_10,0.070825859
RTr_Bl1_11,0.96399293
RTr_Bl1_12,0.576644532
RTr_Bl1_13,0.989729734
RTr_Bl1_14,0.994255948
RTr_Bl1_15,0.547986163
RTr_Bl1_16,0.895685735
RTr_Bl1_17,0.99199504
RTr_Bl1_18,0.459456692
RTr_Bl1_2,0.002798403
RTr_Bl1_3,0.937448821
RTr_Bl1_4,0.518911329
RTr_Bl1_5,0.666103032
RTr_Bl1_6,0.365336936
RTr_Bl1_7,0.068461078
RTr_Bl1_8,0.604136699
RTr_Bl1_9,0.986491974
RTr_Bl2_0,0.91196204
RTr_Bl2_1,0.161194186
RTr_Bl2_10,0.375240357
RTr_Bl2_11,0.053661058
RTr_Bl2_12,0.999874746
RTr_Bl2_13,0.3224258
RTr_Bl2_14,0.997273722
RTr_Bl2_15,0.999881957
RTr_Bl2_16,0.805992288
RTr_Bl2_17,0.549443472
RTr_Bl2_18,0.014405147
RTr_Bl2_2,0.143721105
RTr_Bl2_3,0.275576105
RTr_Bl2_4,0.15600862
RTr_Bl2_5,0.034041013
RTr_Bl2_6,0.191769454
RTr_Bl2_7,0.998134667
RTr_Bl2_8,0.982391148
RTr_Bl2_9,0.705318006
RTr_Bl3_0,7.88E-07
RTr_Bl3_1,0.265447401
RTr_Bl3_10,0.722638674
RTr_Bl3_11,0.179295469
RTr_Bl3_12,0.43069473
RTr_Bl3_13,0.786230778
RTr_Bl3_14,0.931732354
RTr_Bl3_15,0.993797465
RTr_Bl3_16,0.886852897
RTr_Bl3_17,0.195782978
RTr_Bl3_18,0.010079571
RTr_Bl3_2,0.717790543
RTr_Bl3_3,0.13995681
RTr_Bl3_4,0.400199041
RTr_Bl3_5,0.559978738
RTr_Bl3_6,0.700173582
RTr_Bl3_7,0.591018056
RTr_Bl3_8,0.999851887
RTr_Bl3_9,0.587901145
RTr_Bl4_0,0.078757007
RTr_Bl4_1,0.370569569
RTr_Bl4_10,0.977439481
RTr_Bl4_11,0.064721804
RTr_Bl4_12,0.738981156
RTr_Bl4_13,0.855578952
RTr_Bl4_14,0.040322704
RTr_Bl4_15,0.597062655
RTr_Bl4_16,0.695092327
RTr_Bl4_17,0.973663714
RTr_Bl4_18,0.85785826
RTr_Bl4_2,0.995895454
RTr_Bl4_3,0.163735812
RTr_Bl4_4,0.072436199
RTr_Bl4_5,0.005772824
RTr_Bl4_6,0.128287708
RTr_Bl4_7,0.05136157
RTr_Bl4_8,0.119708156
RTr_Bl4_9,0.987055751
RTr_Bl5_0,0.002891933
RTr_Bl5_1,0.94859685
RTr_Bl5_10,0.903814605
RTr_Bl5_11,0.998932233
RTr_Bl5_12,0.697915467
RTr_Bl5_13,0.001002301
RTr_Bl5_14,0.995273464
RTr_Bl5_15,0.995985356
RTr_Bl5_16,0.101014276
RTr_Bl5_17,0.692430235
RTr_Bl5_18,0.693697976
RTr_Bl5_2,0.003782181
RTr_Bl5_3,0.655915822
RTr_Bl5_4,0.996055656
RTr_Bl5_5,0.678408454
RTr_Bl5_6,0.994052016
RTr_Bl5_7,0.170882553
RTr_Bl5_8,0.887678764
RTr_Bl5_9,0.683467394
