Trial,Time,PRed,PGreen,PNone,PRGA,EmpRed,EmpGreen,EmpNone,RSims,GSims,AvgTSim
QTr1,0.1,0.000373317895749,2.30546976862e-07,0.999626451557,0.999382819066,0,0,97,100,0,24.3135
QTr1,0.2,0.00145669460893,1.48568117086e-06,0.99854181971,0.998981140274,1,0,96,100,0,28.286
QTr1,0.3,0.00475160767341,7.86025263894e-06,0.995240532074,0.998348501816,1,0,96,98,2,27.497
QTr1,0.4,0.0130347881938,3.41274558824e-05,0.98693108435,0.997388654361,1,1,95,83,17,20.6855
QTr1,0.5,0.0303102402748,0.000121553995538,0.96956820573,0.996005690809,1,5,91,98,2,29.451
QTr1,0.6,0.0603662237332,0.000355060051589,0.939278716215,0.994152626073,6,4,87,100,0,29.094
QTr1,0.7,0.10436087699,0.000850348665385,0.894788774344,0.991917700226,9,5,83,100,0,30.286
QTr1,0.8,0.159271662697,0.0016694543137,0.83905888299,0.989626924774,22,4,71,100,0,29.969
QTr1,0.9,0.218943523528,0.0026864364149,0.778370040057,0.987878730765,37,7,53,100,0,27.371
QTr1,1,0.277155302733,0.0035429635917,0.719301733675,0.987378035361,45,9,43,100,0,28.758
QTr1,1.1,0.330152649595,0.00382938439172,0.666017966014,0.988534160518,53,6,38,100,0,30.3595
QTr1,1.2,0.376932297261,0.00339209129902,0.61967561144,0.991081057642,55,8,34,100,0,29.637
QTr1,1.3,0.417932649867,0.00246267296509,0.579604677168,0.994142006746,62,3,32,100,0,30.201
QTr1,1.4,0.453765273216,0.00146551996744,0.544769206816,0.99678070994,71,3,23,100,0,30.3275
QTr1,1.5,0.484765169476,0.000714973875178,0.514519856649,0.998527285029,75,3,19,100,0,32.2815
QTr1,1.6,0.511141256559,0.000286029232997,0.488572714208,0.999440723557,77,1,19,100,0,30.9985
QTr1,1.7,0.533270068167,9.39575720092e-05,0.466635974261,0.99982383969,81,1,15,100,0,32.8535
QTr1,1.8,0.551819477282,2.60437352402e-05,0.448154478983,0.999952806113,86,1,10,100,0,29.328
QTr1,1.9,0.567616617392,1.0025245733e-05,0.432373357362,0.99998233831,89,0,8,100,0,31.1215
QTr1,2,0.581424383082,2.18939579881e-05,0.41855372296,0.999962345691,89,0,8,92,8,30.1335
QTr1,2.1,0.59380756432,8.12245173093e-05,0.406111211163,0.999863232782,89,0,8,87,13,30.358
QTr1,2.2,0.605038337761,0.000260193001176,0.394701469238,0.999570141033,90,0,7,99,1,31.7305
QTr1,2.3,0.614963109972,0.000690296451976,0.384346593576,0.998878758008,93,1,3,100,0,29.516
QTr1,2.4,0.623078044589,0.00151436373245,0.375407591678,0.997575436857,94,1,2,100,0,30.092
QTr1,2.5,0.629157115681,0.00274669136641,0.368096192952,0.995653307773,94,1,2,100,0,29.402
QTr1,2.6,0.634137984205,0.00411768077445,0.361744335021,0.993548540185,94,1,2,100,0,30.4685
QTr1,2.7,0.640218299023,0.00509999346058,0.354681707516,0.992096933374,93,1,3,100,0,28.6415
QTr1,2.8,0.649557218039,0.00521577810949,0.345227003851,0.992034219279,93,2,2,100,0,28.2655
QTr1,2.9,0.662576127901,0.00440174512303,0.333022126976,0.993400463042,93,2,2,100,0,30.242
QTr1,3,0.67759128004,0.00306333449106,0.319345385469,0.995499428894,93,2,2,100,0,30.449
QTr1,3.1,0.692135444579,0.00175685498415,0.306107700437,0.99746811575,93,2,2,100,0,30.554
QTr1,3.2,0.704537193512,0.000829800771006,0.294633005717,0.998823590021,93,2,2,100,0,30.4505
QTr1,3.3,0.714392252597,0.000322612983318,0.28528513442,0.999548613022,93,2,2,100,0,30.206
QTr1,3.4,0.722047272492,0.000103327218851,0.27784940029,0.999856917354,95,1,1,100,0,30.1755
QTr1,3.5,0.72803586001,2.81255524219e-05,0.271936014438,0.999961369395,95,1,1,100,0,31.0845
QTr1,3.6,0.732914902927,1.11251058123e-05,0.267073971967,0.99998482097,95,1,1,99,1,27.0305
QTr1,3.7,0.737257503039,2.40075979098e-05,0.262718489364,0.999967437678,96,1,0,91,9,23.5545
QTr1,3.8,0.741537523696,8.26071120502e-05,0.258379869192,0.999888612635,96,1,0,96,4,25.7255
QTr1,3.9,0.745980891751,0.000243372452159,0.253775735797,0.999673861513,96,1,0,100,0,30.287
QTr1,4,0.750554283867,0.000590434968907,0.248855281164,0.999213953112,96,1,0,100,0,31.4335
QTr1,4.1,0.755092652116,0.00117788088794,0.243729466997,0.998442513841,96,1,0,100,0,26.7845
QTr1,4.2,0.759459699199,0.00193271667172,0.238607584129,0.997461602412,96,1,0,100,0,28.683
QTr1,4.3,0.763670623023,0.00260948138422,0.233719895593,0.996594611593,96,1,0,100,0,28.9005
QTr1,4.4,0.767933570645,0.00290056577038,0.229165863585,0.996237107786,96,0,1,100,0,25.141
QTr1,4.5,0.772563605892,0.00265589345848,0.22478050065,0.996574011024,97,0,0,100,0,26.7905
QTr1,4.6,0.777794960388,0.00200455858981,0.220200481022,0.997429392375,97,0,0,100,0,28.134
QTr1,4.7,0.783628891362,0.00124795500433,0.215123153633,0.998409998957,97,0,0,100,0,22.317
QTr1,4.8,0.789850876243,0.000641267075379,0.209507856682,0.999188774891,97,0,0,100,0,23.111
QTr1,4.9,0.796205372404,0.000272152687729,0.203522474908,0.999658304624,97,0,0,100,0,21.5505
QTr1,5,0.802587661373,9.5491186228e-05,0.197316847441,0.999881035019,97,0,0,100,0,20.565
QTr1,5.1,0.809131443306,2.8069180132e-05,0.190840487513,0.999965310696,97,0,0,100,0,14.5355
QTr1,5.2,0.816164864279,9.11098200505e-06,0.183826024739,0.999988836961,97,0,0,100,0,12.8315
QTr1,5.3,0.824068925694,1.39068208142e-05,0.175917167485,0.999983124487,97,0,0,97,3,10.635
QTr1,5.4,0.833120303126,5.29661341148e-05,0.16682673074,0.999936428428,97,0,0,88,12,11.5095
QTr1,5.5,0.843385399981,0.000182196993115,0.156432403026,0.999784016131,97,0,0,99,1,11.8175
QTr1,5.6,0.854610277422,0.000518305881966,0.144871416696,0.999393885444,97,0,0,99,1,7.524
QTr1,5.7,0.866088228157,0.00121444316748,0.132697328675,0.998599747,97,0,0,98,2,13.031
QTr1,5.8,0.876771463431,0.00234329072559,0.120885245844,0.997334488229,97,0,0,100,0,7.0105
QTr1,5.9,0.885851564157,0.00372611728398,0.110422318559,0.995811363795,96,0,1,94,6,7.217
QTr1,6,0.893394003363,0.00489557735094,0.101710419286,0.994550112284,97,0,0,100,0,6.278
QTr1,6.1,0.900278933885,0.00535200785134,0.0943690582638,0.994090299255,96,0,1,99,1,3.628
QTr1,6.2,0.907438624149,0.00495287390429,0.087608501947,0.994571547505,97,0,0,100,0,1.62
QTr1,6.3,0.915264936256,0.00402984014388,0.0807052235999,0.995616378721,97,0,0,100,0,1.8475
QTr1,6.4,0.923749851559,0.00308267475802,0.0731674736834,0.996673967874,97,0,0,100,0,1.536
QTr1,6.5,0.932903801505,0.00238388799765,0.0647123104978,0.997451171416,97,0,0,100,0,0.928
QTr1,6.6,0.942775203488,0.00189017526873,0.0553346212429,0.997999106021,97,0,0,99,1,0.8525
QTr1,6.7,0.953097917652,0.00145459042955,0.0454474919188,0.99847615462,97,0,0,95,5,1.1765
QTr1,6.8,0.963099080977,0.00103867404314,0.0358622449797,0.998922691246,97,0,0,94,6,1.312
QTr1,6.9,0.971760641775,0.000738798660386,0.0275005595646,0.999240309424,97,0,0,96,4,1.0405
QTr1,7,0.978306162576,0.000691540318056,0.0210022971061,0.999293624167,97,0,0,99,1,0.3925
QTr1,7.1,0.982508992267,0.000982074047115,0.0165089336862,0.999001440805,97,0,0,100,0,0.303
QTr1,7.2,0.984689776655,0.0015834712397,0.0137267521055,0.998394490327,97,0,0,100,0,0.62
QTr1,7.3,0.985531446676,0.00231836405182,0.0121501892718,0.997653120923,97,0,0,100,0,0.1135
QTr1,7.4,0.985718205462,0.0028909157496,0.0113908787883,0.997075774755,97,0,0,100,0,0.6005
QTr2,0.1,0.000306786121529,6.21944364541e-26,0.999693213878,1.0,2,0,93,100,0,33.4455
QTr2,0.2,0.00120695602096,4.6612393733e-24,0.998793043979,1.0,2,1,92,100,0,34.0995
QTr2,0.3,0.0039766773474,2.88287109272e-22,0.996023322653,1.0,2,1,92,100,0,34.144
QTr2,0.4,0.0110427155303,1.47437472297e-20,0.98895728447,1.0,2,2,91,100,0,31.661
QTr2,0.5,0.0260560244521,6.25069607548e-19,0.973943975548,1.0,3,3,89,100,0,32.2685
QTr2,0.6,0.0527888078085,2.20329313251e-17,0.947211192192,1.0,3,5,87,100,0,33.857
QTr2,0.7,0.0930295159648,6.47918989492e-16,0.906970484035,1.0,4,6,85,100,0,35.5025
QTr2,0.8,0.144860693481,1.59551882513e-14,0.855139306519,1.0,7,6,82,100,0,31.6585
QTr2,0.9,0.202937217177,3.30288664309e-13,0.797062782822,0.999999999998,13,5,77,100,0,32.159
QTr2,1,0.260824146181,5.76867184021e-12,0.739175853813,0.999999999978,20,6,69,100,0,31.2405
QTr2,1.1,0.313697322677,8.5261644509e-11,0.686302677237,0.999999999728,23,7,65,100,0,29.147
QTr2,1.2,0.359672236011,1.06854608199e-09,0.64032776292,0.999999997029,29,7,59,100,0,26.888
QTr2,1.3,0.399391329017,1.13636790691e-08,0.600608659619,0.999999971548,35,5,55,100,0,28.1505
QTr2,1.4,0.434653905038,1.02496268897e-07,0.565345992466,0.999999764189,45,5,45,100,0,28.9925
QTr2,1.5,0.467093449264,7.82851620971e-07,0.532905767885,0.999998323996,48,5,42,100,0,30.415
QTr2,1.6,0.497478640315,5.05174346087e-06,0.502516307941,0.999989845409,53,6,36,99,1,27.6515
QTr2,1.7,0.525642881039,2.74693637493e-05,0.474329649597,0.999947744126,58,8,29,96,4,27.671
QTr2,1.8,0.550772051024,0.000125526150849,0.449102422825,0.999772142489,62,8,25,83,17,23.172
QTr2,1.9,0.57182661497,0.000480838020485,0.42769254701,0.999159825688,63,7,25,66,34,25.141
QTr2,2,0.58788805524,0.00154052061462,0.410571424145,0.997386416815,64,7,24,87,13,27.2705
QTr2,2.1,0.598243256494,0.00412037296144,0.397636370545,0.993159658452,68,6,21,94,6,26.404
QTr2,2.2,0.602445350577,0.00918869446219,0.388365954961,0.984976810011,70,6,19,100,0,26.2245
QTr2,2.3,0.600994414673,0.0170817497048,0.381923835622,0.972363034381,71,6,18,91,9,23.283
QTr2,2.4,0.596547615507,0.0265308245118,0.376921559982,0.95741976803,72,6,17,73,27,20.076
QTr2,2.5,0.594006543876,0.0347221858852,0.371271270239,0.944773979235,74,7,14,59,41,17.7735
QTr2,2.6,0.597917167898,0.039235529775,0.362847302327,0.938420523183,74,6,15,95,5,24.3715
QTr2,2.7,0.608634011489,0.0405740428103,0.350791945701,0.937502249792,78,5,12,100,0,22.83
QTr2,2.8,0.6214135885,0.0423918628088,0.336194548692,0.936138121907,81,5,9,100,0,24.6485
QTr2,2.9,0.630593605781,0.0482140022616,0.321192391958,0.928972507541,82,4,9,100,0,22.707
QTr2,3,0.635432944058,0.0573429067985,0.307224149143,0.917227330128,83,4,8,100,0,23.195
QTr2,3.1,0.641523321774,0.0643087876206,0.294167890605,0.908889399101,83,5,7,100,0,23.85
QTr2,3.2,0.65581095392,0.0630930066429,0.281096039437,0.912237224853,84,3,8,100,0,24.977
QTr2,3.3,0.680087880463,0.052276736728,0.267635382809,0.928619248526,87,3,5,100,0,24.05
QTr2,3.4,0.709434366214,0.0360636357886,0.254501997997,0.951624772043,89,3,3,100,0,21.7775
QTr2,3.5,0.736510350505,0.0205948567451,0.24289479275,0.972797893149,90,3,2,100,0,20.8835
QTr2,3.6,0.756748583947,0.00971067139735,0.233540744656,0.987330479305,90,2,3,100,0,20.4985
QTr2,3.7,0.770001954418,0.00377526369736,0.226222781884,0.99512099399,89,2,4,100,0,23.1815
QTr2,3.8,0.778793308191,0.00120918970961,0.219997502099,0.998449761747,89,2,4,100,0,20.3215
QTr2,3.9,0.785844020373,0.000318905823375,0.213837073804,0.999594351485,89,2,4,100,0,23.4555
