Trial,Green,Red,Goal,Accuracy
QTr1,0.379897416,0.620102584,R,
QTr2,0.999937415,6.25452E-05,R,
QTr3,0.383249223,0.616750777,R,
QTr4,0.406493127,0.593506873,R,
QTr5,0.827624083,0.172375977,R,
RTr_Bl1_0,0.828941762,0.171058238,R,
RTr_Bl1_1,0.999968529,3.14973E-05,R,
RTr_Bl1_10,0.913739264,0.086260729,G,
RTr_Bl1_11,0.000176287,0.999823749,R,
RTr_Bl1_12,0.996290445,0.003709596,G,
RTr_Bl1_13,1.66677E-05,0.999983311,R,
RTr_Bl1_14,2.2109E-05,0.999977946,R,
RTr_Bl1_15,0.9519099,0.048090149,R,
RTr_Bl1_16,0.004515501,0.995484471,R,
RTr_Bl1_17,0.000121783,0.999878168,R,
RTr_Bl1_18,0.997611642,0.0023884,G,
RTr_Bl1_2,0.999465764,0.000534289,G,
RTr_Bl1_3,0.000211228,0.999788821,G,
RTr_Bl1_4,0.256484598,0.743515432,R,
RTr_Bl1_5,7.04218E-06,0.999992967,R,
RTr_Bl1_6,0.750754654,0.249245405,R,
RTr_Bl1_7,0.999012232,0.000987786,G,
RTr_Bl1_8,0.999875784,0.000124255,R,
RTr_Bl1_9,6.41475E-06,0.999993563,R,
RTr_Bl2_0,2.11242E-06,0.999997854,R,
RTr_Bl2_1,0.012694288,0.987305641,R,
RTr_Bl2_10,0.99924916,0.000750762,G,
RTr_Bl2_11,0.999984503,1.55076E-05,G,
RTr_Bl2_12,1.37998E-09,1,R,
RTr_Bl2_13,0.044859994,0.955139995,G,
RTr_Bl2_14,2.06569E-10,1,R,
RTr_Bl2_15,1.03756E-08,1,R,
RTr_Bl2_16,0.999809325,0.000190729,R,
RTr_Bl2_17,0.999705493,0.000294529,G,
RTr_Bl2_18,0.999999762,1.99659E-07,G,
RTr_Bl2_2,0.172267392,0.827732623,G,
RTr_Bl2_3,0.000369462,0.99963057,G,
RTr_Bl2_4,0.999999404,6.02214E-07,G,
RTr_Bl2_5,0.999999285,6.92245E-07,G,
RTr_Bl2_6,1.26716E-06,0.999998689,G,
RTr_Bl2_7,1.22129E-05,0.999987841,R,
RTr_Bl2_8,0.779286325,0.220713675,R,
RTr_Bl2_9,5.2985E-07,0.999999523,R,
RTr_Bl3_0,1,1.59563E-10,G,
RTr_Bl3_1,0.004960597,0.995039403,R,
RTr_Bl3_10,0.000230115,0.999769866,G,
RTr_Bl3_11,0.014899112,0.985100925,G,
RTr_Bl3_12,0.825016916,0.174983099,G,
RTr_Bl3_13,0.25297749,0.74702245,G,
RTr_Bl3_14,7.37203E-08,0.999999881,R,
RTr_Bl3_15,0.00089044,0.999109566,R,
RTr_Bl3_16,0.591747344,0.408252686,R,
RTr_Bl3_17,3.25362E-05,0.999967456,G,
RTr_Bl3_18,1,8.02212E-09,G,
RTr_Bl3_2,0.328976959,0.671023011,R,
RTr_Bl3_3,0.963807464,0.036192585,R,
RTr_Bl3_4,0.999843717,0.000156281,G,
RTr_Bl3_5,0.999453604,0.000546428,G,
RTr_Bl3_6,0.012302276,0.98769778,G,
RTr_Bl3_7,0.999563873,0.000436079,G,
RTr_Bl3_8,2.86425E-07,0.999999762,R,
RTr_Bl3_9,0.022915568,0.977084458,G,
RTr_Bl4_0,0.999408841,0.000591178,R,
RTr_Bl4_1,9.50872E-10,1,R,
RTr_Bl4_10,0.002033196,0.997966826,R,
RTr_Bl4_11,0.9999578,4.21551E-05,G,
RTr_Bl4_12,0.996988118,0.003011914,R,
RTr_Bl4_13,0.781426311,0.218573704,R,
RTr_Bl4_14,0.025893964,0.974106073,G,
RTr_Bl4_15,3.08823E-05,0.999969125,G,
RTr_Bl4_16,0.999962926,3.71004E-05,R,
RTr_Bl4_17,1.69454E-05,0.999983072,R,
RTr_Bl4_18,0.575468898,0.424531162,G,
RTr_Bl4_2,4.01465E-10,1,R,
RTr_Bl4_3,0.970605195,0.029394805,G,
RTr_Bl4_4,0.796012104,0.203987941,G,
RTr_Bl4_5,0.999089241,0.000910727,G,
RTr_Bl4_6,0.999999523,4.65286E-07,R,
RTr_Bl4_7,0.999999881,1.59108E-07,G,
RTr_Bl4_8,0.999755919,0.000244058,R,
RTr_Bl4_9,0.001046311,0.9989537,R,
RTr_Bl5_0,0.062494576,0.937505424,G,
RTr_Bl5_1,0.000687229,0.999312758,R,
RTr_Bl5_10,0.00062313,0.999376953,G,
RTr_Bl5_11,0.015189583,0.984810412,R,
RTr_Bl5_12,3.59336E-05,0.999964118,G,
RTr_Bl5_13,0.26876089,0.73123914,G,
RTr_Bl5_14,0.15282397,0.847176015,R,
RTr_Bl5_15,0.875503778,0.124496162,R,
RTr_Bl5_16,0.999743879,0.000256058,G,
RTr_Bl5_17,0.999490857,0.000509172,R,
RTr_Bl5_18,0.834607363,0.165392637,R,
RTr_Bl5_2,1,4.74329E-09,G,
RTr_Bl5_3,0.001554329,0.99844569,R,
RTr_Bl5_4,2.03953E-06,0.999997973,R,
RTr_Bl5_5,0.037983753,0.962016284,R,
RTr_Bl5_6,9.73756E-06,0.999990225,R,
RTr_Bl5_7,0.008473786,0.991526186,G,
RTr_Bl5_8,0.000454744,0.999545276,R,
RTr_Bl5_9,1,1.27477E-08,G,
