Trial,Time,PRed,PGreen
QTr1,0.1,0.398941517,0.601058483
QTr1,0.2,0.366702825,0.633297205
QTr1,0.3,0.358813286,0.641186774
QTr1,0.4,0.352948725,0.647051275
QTr1,0.5,0.3398678,0.66013211
QTr1,0.6,0.340892255,0.659107745
QTr1,0.7,0.33840546,0.66159457
QTr1,0.8,0.342262983,0.657737017
QTr1,0.9,0.371752292,0.628247738
QTr1,1,0.372512311,0.627487659
QTr1,1.1,0.363559037,0.636440873
QTr1,1.2,0.394654095,0.605345905
QTr1,1.3,0.395901293,0.604098618
QTr1,1.4,0.4137218,0.5862782
QTr1,1.5,0.418045491,0.581954539
QTr1,1.6,0.439670831,0.560329139
QTr1,1.7,0.447683752,0.552316189
QTr1,1.8,0.452923149,0.547076881
QTr1,1.9,0.440900028,0.559100032
QTr1,2,0.476154298,0.523845732
QTr1,2.1,0.4543387,0.545661271
QTr1,2.2,0.452245355,0.547754645
QTr1,2.3,0.48209846,0.51790154
QTr1,2.4,0.46732828,0.53267175
QTr1,2.5,0.472623557,0.527376473
QTr1,2.6,0.49222216,0.50777781
QTr1,2.7,0.495260954,0.504738986
QTr1,2.8,0.504641473,0.495358527
QTr1,2.9,0.479099095,0.520900905
QTr1,3,0.451485246,0.548514783
QTr1,3.1,0.46671465,0.53328532
QTr1,3.2,0.487337768,0.512662232
QTr1,3.3,0.453392625,0.546607316
QTr1,3.4,0.453557014,0.546442986
QTr1,3.5,0.428447545,0.571552455
QTr1,3.6,0.440253347,0.559746623
QTr1,3.7,0.402775913,0.597224176
QTr1,3.8,0.377955645,0.622044384
QTr1,3.9,0.435408354,0.564591646
QTr1,4,0.443954647,0.556045413
QTr1,4.1,0.45540753,0.5445925
QTr1,4.2,0.466472059,0.533527911
QTr1,4.3,0.487109244,0.512890756
QTr1,4.4,0.505593896,0.494406044
QTr1,4.5,0.530512631,0.469487339
QTr1,4.6,0.551931322,0.448068708
QTr1,4.7,0.553565145,0.446434885
QTr1,4.8,0.548756659,0.451243341
QTr1,4.9,0.514948606,0.485051334
QTr1,5,0.523003638,0.476996392
QTr1,5.1,0.502898216,0.497101784
QTr1,5.2,0.521472394,0.478527576
QTr1,5.3,0.507731795,0.492268175
QTr1,5.4,0.514089704,0.485910326
QTr1,5.5,0.516236782,0.483763188
QTr1,5.6,0.504148483,0.495851576
QTr1,5.7,0.501493692,0.498506278
QTr1,5.8,0.509575188,0.490424901
QTr1,5.9,0.527541041,0.472458959
QTr1,6,0.485858709,0.514141202
QTr1,6.1,0.517608702,0.482391298
QTr1,6.2,0.54706049,0.452939481
QTr1,6.3,0.576631844,0.423368126
QTr1,6.4,0.551921964,0.448077977
QTr1,6.5,0.58666575,0.41333425
QTr1,6.6,0.570336998,0.429662943
QTr1,6.7,0.598429561,0.40157041
QTr1,6.8,0.607591808,0.392408222
QTr1,6.9,0.620973289,0.379026651
QTr1,7,0.66410768,0.33589229
QTr1,7.1,0.664709032,0.335290998
QTr1,7.2,0.651222169,0.348777831
QTr1,7.3,0.691518068,0.308481932
QTr1,7.4,0.616891503,0.383108526
QTr2,0.1,0.427593201,0.572406828
QTr2,0.2,0.476712525,0.523287416
QTr2,0.3,0.480533332,0.519466698
QTr2,0.4,0.460518956,0.539480984
QTr2,0.5,0.487506956,0.512493014
QTr2,0.6,0.468517035,0.531482995
QTr2,0.7,0.492995679,0.507004321
QTr2,0.8,0.495731056,0.504268944
QTr2,0.9,0.515821457,0.484178603
QTr2,1,0.511334419,0.488665581
QTr2,1.1,0.526797175,0.473202765
QTr2,1.2,0.509890318,0.490109682
QTr2,1.3,0.466207683,0.533792317
QTr2,1.4,0.537855446,0.462144464
QTr2,1.5,0.52219367,0.477806389
QTr2,1.6,0.52594614,0.47405386
QTr2,1.7,0.500167012,0.499832958
QTr2,1.8,0.543307602,0.456692398
QTr2,1.9,0.529068828,0.470931262
QTr2,2,0.533256888,0.466743022
QTr2,2.1,0.509826601,0.490173429
QTr2,2.2,0.504720449,0.495279521
QTr2,2.3,0.497794122,0.502205908
QTr2,2.4,0.510762751,0.489237189
QTr2,2.5,0.515634477,0.484365553
QTr2,2.6,0.509205759,0.490794271
QTr2,2.7,0.490824163,0.509175837
QTr2,2.8,0.502600372,0.497399628
QTr2,2.9,0.498522341,0.501477659
QTr2,3,0.519295037,0.480704933
QTr2,3.1,0.552136719,0.447863281
QTr2,3.2,0.546297371,0.453702658
QTr2,3.3,0.507616222,0.492383718
QTr2,3.4,0.522828639,0.477171391
QTr2,3.5,0.529718697,0.470281333
QTr2,3.6,0.530099094,0.469900966
QTr2,3.7,0.558770061,0.441229999
QTr2,3.8,0.537265122,0.462734848
QTr2,3.9,0.507207334,0.492792666
QTr2,4,0.535823464,0.464176565
QTr2,4.1,0.588673592,0.411326379
QTr2,4.2,0.592464268,0.407535762
QTr2,4.3,0.57292074,0.427079231
QTr2,4.4,0.545596719,0.454403281
QTr2,4.5,0.562806964,0.437193036
QTr2,4.6,0.559542418,0.440457582
QTr2,4.7,0.587092757,0.412907243
QTr2,4.8,0.658795118,0.341204911
QTr2,4.9,0.661336184,0.338663876
QTr2,5,0.676515281,0.323484749
QTr2,5.1,0.700174689,0.29982537
